18-7-1 23:30:23.6|Info|MigrationLogger|*** 83: additonal_blacklist_columns migrating ***
18-7-1 23:30:23.6|Info|additonal_blacklist_columns|Starting migration to 83
18-7-1 23:30:23.6|Info|MigrationLogger|*** 84: update_quality_minmax_size migrating ***
18-7-1 23:30:23.6|Info|update_quality_minmax_size|Starting migration to 84
18-7-1 23:30:23.6|Info|MigrationLogger|*** 85: expand_transmission_urlbase migrating ***
18-7-1 23:30:23.6|Info|expand_transmission_urlbase|Starting migration to 85
18-7-1 23:30:23.6|Info|MigrationLogger|*** 86: pushbullet_device_ids migrating ***
18-7-1 23:30:23.6|Info|pushbullet_device_ids|Starting migration to 86
18-7-1 23:30:23.7|Info|MigrationLogger|*** 87: remove_eztv migrating ***
18-7-1 23:30:23.7|Info|remove_eztv|Starting migration to 87
18-7-1 23:30:23.7|Info|MigrationLogger|*** 88: pushbullet_devices_channels_list migrating ***
18-7-1 23:30:23.7|Info|pushbullet_devices_channels_list|Starting migration to 88
18-7-1 23:30:23.7|Info|MigrationLogger|*** 89: add_on_rename_to_notifcations migrating ***
18-7-1 23:30:23.7|Info|add_on_rename_to_notifcations|Starting migration to 89
18-7-1 23:30:23.7|Info|MigrationLogger|*** 90: update_kickass_url migrating ***
18-7-1 23:30:23.7|Info|update_kickass_url|Starting migration to 90
18-7-1 23:30:23.7|Info|MigrationLogger|*** 91: added_indexerstatus migrating ***
18-7-1 23:30:23.7|Info|added_indexerstatus|Starting migration to 91
18-7-1 23:30:23.7|Info|MigrationLogger|*** 92: add_unverifiedscenenumbering migrating ***
18-7-1 23:30:23.7|Info|add_unverifiedscenenumbering|Starting migration to 92
18-7-1 23:30:23.7|Info|MigrationLogger|*** 93: naming_config_replace_illegal_characters migrating ***
18-7-1 23:30:23.7|Info|naming_config_replace_illegal_characters|Starting migration to 93
18-7-1 23:30:23.7|Info|MigrationLogger|*** 94: add_tvmazeid migrating ***
18-7-1 23:30:23.7|Info|add_tvmazeid|Starting migration to 94
18-7-1 23:30:23.7|Info|MigrationLogger|*** 95: add_additional_episodes_index migrating ***
18-7-1 23:30:23.7|Info|add_additional_episodes_index|Starting migration to 95
18-7-1 23:30:23.8|Info|MigrationLogger|*** 96: disable_kickass migrating ***
18-7-1 23:30:23.8|Info|disable_kickass|Starting migration to 96
18-7-1 23:30:23.8|Info|MigrationLogger|*** 98: remove_titans_of_tv migrating ***
18-7-1 23:30:23.8|Info|remove_titans_of_tv|Starting migration to 98
18-7-1 23:30:23.8|Info|MigrationLogger|*** 99: extra_and_subtitle_files migrating ***
18-7-1 23:30:23.8|Info|extra_and_subtitle_files|Starting migration to 99
18-7-1 23:30:23.8|Info|MigrationLogger|*** 100: add_scene_season_number migrating ***
18-7-1 23:30:23.8|Info|add_scene_season_number|Starting migration to 100
